Comunidades y Ciudades Autónomas	Sexo	Periodo	Total
Total	Mujeres	2003	21.682.738
Total	Mujeres	2002	21.273.805
Total	Mujeres	2001	20.951.328
Total	Mujeres	2000	20.678.407
Total	Mujeres	1999	20.531.518
Total	Mujeres	1998	20.364.186
Total	Mujeres	1997	""
Total	Mujeres	1996	20.269.845
01 Andalucía	Total	2019	8.414.240
01 Andalucía	Total	2018	8.384.408
01 Andalucía	Total	2017	8.379.820
01 Andalucía	Total	2016	8.388.107
01 Andalucía	Total	2015	8.399.043
01 Andalucía	Total	2014	8.402.305
01 Andalucía	Total	2013	8.440.300
01 Andalucía	Total	2012	8.449.985
01 Andalucía	Total	2011	8.424.102
01 Andalucía	Total	2010	8.370.975
01 Andalucía	Total	2009	8.302.923
01 Andalucía	Total	2008	8.202.220
01 Andalucía	Total	2007	8.059.461
01 Andalucía	Total	2006	7.975.672
01 Andalucía	Total	2005	7.849.799
01 Andalucía	Total	2004	7.687.518
01 Andalucía	Total	2003	7.606.848
01 Andalucía	Total	2002	7.478.432
01 Andalucía	Total	2001	7.403.968
01 Andalucía	Total	2000	7.340.052
01 Andalucía	Total	1999	7.305.117
01 Andalucía	Total	1998	7.236.459
01 Andalucía	Total	1997	""
01 Andalucía	Total	1996	7.234.873
01 Andalucía	Hombres	2019	4.147.167
01 Andalucía	Hombres	2018	4.133.898
01 Andalucía	Hombres	2017	4.133.835
01 Andalucía	Hombres	2016	4.139.194
01 Andalucía	Hombres	2015	4.144.532
01 Andalucía	Hombres	2014	4.148.701
01 Andalucía	Hombres	2013	4.170.654
01 Andalucía	Hombres	2012	4.180.285
01 Andalucía	Hombres	2011	4.169.634
01 Andalucía	Hombres	2010	4.144.856
01 Andalucía	Hombres	2009	4.113.383
01 Andalucía	Hombres	2008	4.071.500
01 Andalucía	Hombres	2007	3.999.243
01 Andalucía	Hombres	2006	3.958.565
01 Andalucía	Hombres	2005	3.889.605
01 Andalucía	Hombres	2004	3.800.208
01 Andalucía	Hombres	2003	3.757.370
01 Andalucía	Hombres	2002	3.687.421
01 Andalucía	Hombres	2001	3.647.194
01 Andalucía	Hombres	2000	3.609.412
01 Andalucía	Hombres	1999	3.592.680
01 Andalucía	Hombres	1998	3.558.950
01 Andalucía	Hombres	1997	""
01 Andalucía	Hombres	1996	3.559.436
01 Andalucía	Mujeres	2019	4.267.073
01 Andalucía	Mujeres	2018	4.250.510
01 Andalucía	Mujeres	2017	4.245.985
01 Andalucía	Mujeres	2016	4.248.913
01 Andalucía	Mujeres	2015	4.254.511
01 Andalucía	Mujeres	2014	4.253.604
01 Andalucía	Mujeres	2013	4.269.646
01 Andalucía	Mujeres	2012	4.269.700
01 Andalucía	Mujeres	2011	4.254.468
01 Andalucía	Mujeres	2010	4.226.119
01 Andalucía	Mujeres	2009	4.189.540
01 Andalucía	Mujeres	2008	4.130.720
01 Andalucía	Mujeres	2007	4.060.218
01 Andalucía	Mujeres	2006	4.017.107
01 Andalucía	Mujeres	2005	3.960.194
01 Andalucía	Mujeres	2004	3.887.310
01 Andalucía	Mujeres	2003	3.849.478
01 Andalucía	Mujeres	2002	3.791.011
01 Andalucía	Mujeres	2001	3.756.774
01 Andalucía	Mujeres	2000	3.730.640
01 Andalucía	Mujeres	1999	3.712.437
01 Andalucía	Mujeres	1998	3.677.509
01 Andalucía	Mujeres	1997	""
01 Andalucía	Mujeres	1996	3.675.437
02 Aragón	Total	2019	1.319.291
02 Aragón	Total	2018	1.308.728
02 Aragón	Total	2017	1.308.750
02 Aragón	Total	2016	1.308.563
02 Aragón	Total	2015	1.317.847
02 Aragón	Total	2014	1.325.385
02 Aragón	Total	2013	1.347.150
02 Aragón	Total	2012	1.349.467
02 Aragón	Total	2011	1.346.293
02 Aragón	Total	2010	1.347.095
02 Aragón	Total	2009	1.345.473
02 Aragón	Total	2008	1.326.918
02 Aragón	Total	2007	1.296.655
02 Aragón	Total	2006	1.277.471
02 Aragón	Total	2005	1.269.027
02 Aragón	Total	2004	1.249.584
02 Aragón	Total	2003	1.230.090
02 Aragón	Total	2002	1.217.514
02 Aragón	Total	2001	1.199.753
02 Aragón	Total	2000	1.189.909
02 Aragón	Total	1999	1.186.849
02 Aragón	Total	1998	1.183.234
02 Aragón	Total	1997	""
02 Aragón	Total	1996	1.187.546
02 Aragón	Hombres	2019	650.694
02 Aragón	Hombres	2018	645.498
02 Aragón	Hombres	2017	645.895
02 Aragón	Hombres	2016	647.206
02 Aragón	Hombres	2015	652.687
02 Aragón	Hombres	2014	656.964
02 Aragón	Hombres	2013	669.987
02 Aragón	Hombres	2012	671.898
02 Aragón	Hombres	2011	671.286
02 Aragón	Hombres	2010	673.177
02 Aragón	Hombres	2009	673.819
02 Aragón	Hombres	2008	664.403
02 Aragón	Hombres	2007	646.996
02 Aragón	Hombres	2006	636.659
02 Aragón	Hombres	2005	632.148
02 Aragón	Hombres	2004	620.874
02 Aragón	Hombres	2003	610.210
02 Aragón	Hombres	2002	603.149
02 Aragón	Hombres	2001	592.682
02 Aragón	Hombres	2000	586.122
02 Aragón	Hombres	1999	584.361
02 Aragón	Hombres	1998	582.366
02 Aragón	Hombres	1997	""
02 Aragón	Hombres	1996	584.535
02 Aragón	Mujeres	2019	668.597
02 Aragón	Mujeres	2018	663.230
02 Aragón	Mujeres	2017	662.855
02 Aragón	Mujeres	2016	661.357
02 Aragón	Mujeres	2015	665.160
02 Aragón	Mujeres	2014	668.421
02 Aragón	Mujeres	2013	677.163
02 Aragón	Mujeres	2012	677.569
02 Aragón	Mujeres	2011	675.007
02 Aragón	Mujeres	2010	673.918
02 Aragón	Mujeres	2009	671.654
02 Aragón	Mujeres	2008	662.515
02 Aragón	Mujeres	2007	649.659
02 Aragón	Mujeres	2006	640.812
02 Aragón	Mujeres	2005	636.879
02 Aragón	Mujeres	2004	628.710
02 Aragón	Mujeres	2003	619.880
02 Aragón	Mujeres	2002	614.365
02 Aragón	Mujeres	2001	607.071
02 Aragón	Mujeres	2000	603.787
02 Aragón	Mujeres	1999	602.488
02 Aragón	Mujeres	1998	600.868
02 Aragón	Mujeres	1997	""
02 Aragón	Mujeres	1996	603.011
03 Asturias, Principado de	Total	2019	1.022.800
03 Asturias, Principado de	Total	2018	1.028.244
03 Asturias, Principado de	Total	2017	1.034.960
03 Asturias, Principado de	Total	2016	1.042.608
03 Asturias, Principado de	Total	2015	1.051.229
03 Asturias, Principado de	Total	2014	1.061.756
03 Asturias, Principado de	Total	2013	1.068.165
03 Asturias, Principado de	Total	2012	1.077.360
03 Asturias, Principado de	Total	2011	1.081.487
03 Asturias, Principado de	Total	2010	1.084.341
03 Asturias, Principado de	Total	2009	1.085.289
03 Asturias, Principado de	Total	2008	1.080.138
03 Asturias, Principado de	Total	2007	1.074.862
03 Asturias, Principado de	Total	2006	1.076.896
03 Asturias, Principado de	Total	2005	1.076.635
03 Asturias, Principado de	Total	2004	1.073.761
03 Asturias, Principado de	Total	2003	1.075.381
03 Asturias, Principado de	Total	2002	1.073.971
03 Asturias, Principado de	Total	2001	1.075.329
03 Asturias, Principado de	Total	2000	1.076.567
03 Asturias, Principado de	Total	1999	1.084.314
03 Asturias, Principado de	Total	1998	1.081.834
03 Asturias, Principado de	Total	1997	""
03 Asturias, Principado de	Total	1996	1.087.885
03 Asturias, Principado de	Hombres	2019	488.137
03 Asturias, Principado de	Hombres	2018	490.738
03 Asturias, Principado de	Hombres	2017	493.911
03 Asturias, Principado de	Hombres	2016	497.852
03 Asturias, Principado de	Hombres	2015	502.175
03 Asturias, Principado de	Hombres	2014	507.927
03 Asturias, Principado de	Hombres	2013	511.346
03 Asturias, Principado de	Hombres	2012	516.420
03 Asturias, Principado de	Hombres	2011	518.571
03 Asturias, Principado de	Hombres	2010	520.402
03 Asturias, Principado de	Hombres	2009	520.916
03 Asturias, Principado de	Hombres	2008	518.291
03 Asturias, Principado de	Hombres	2007	515.292
03 Asturias, Principado de	Hombres	2006	516.347
03 Asturias, Principado de	Hombres	2005	516.329
03 Asturias, Principado de	Hombres	2004	515.047
03 Asturias, Principado de	Hombres	2003	515.945
03 Asturias, Principado de	Hombres	2002	515.166
03 Asturias, Principado de	Hombres	2001	515.897
03 Asturias, Principado de	Hombres	2000	516.398
03 Asturias, Principado de	Hombres	1999	520.012
03 Asturias, Principado de	Hombres	1998	519.530
03 Asturias, Principado de	Hombres	1997	""
03 Asturias, Principado de	Hombres	1996	522.981
03 Asturias, Principado de	Mujeres	2019	534.663
03 Asturias, Principado de	Mujeres	2018	537.506
03 Asturias, Principado de	Mujeres	2017	541.049
03 Asturias, Principado de	Mujeres	2016	544.756
03 Asturias, Principado de	Mujeres	2015	549.054
03 Asturias, Principado de	Mujeres	2014	553.829
03 Asturias, Principado de	Mujeres	2013	556.819
03 Asturias, Principado de	Mujeres	2012	560.940
03 Asturias, Principado de	Mujeres	2011	562.916
03 Asturias, Principado de	Mujeres	2010	563.939
03 Asturias, Principado de	Mujeres	2009	564.373
03 Asturias, Principado de	Mujeres	2008	561.847
03 Asturias, Principado de	Mujeres	2007	559.570
03 Asturias, Principado de	Mujeres	2006	560.549
03 Asturias, Principado de	Mujeres	2005	560.306
03 Asturias, Principado de	Mujeres	2004	558.714
03 Asturias, Principado de	Mujeres	2003	559.436
03 Asturias, Principado de	Mujeres	2002	558.805
03 Asturias, Principado de	Mujeres	2001	559.432
03 Asturias, Principado de	Mujeres	2000	560.169
03 Asturias, Principado de	Mujeres	1999	564.302
03 Asturias, Principado de	Mujeres	1998	562.304
03 Asturias, Principado de	Mujeres	1997	""
03 Asturias, Principado de	Mujeres	1996	564.904
04 Balears, Illes	Total	2019	1.149.460
04 Balears, Illes	Total	2018	1.128.908
04 Balears, Illes	Total	2017	1.115.999
04 Balears, Illes	Total	2016	1.107.220
04 Balears, Illes	Total	2015	1.104.479
04 Balears, Illes	Total	2014	1.103.442
04 Balears, Illes	Total	2013	1.111.674
04 Balears, Illes	Total	2012	1.119.439
04 Balears, Illes	Total	2011	1.113.114
04 Balears, Illes	Total	2010	1.106.049
04 Balears, Illes	Total	2009	1.095.426
04 Balears, Illes	Total	2008	1.072.844
04 Balears, Illes	Total	2007	1.030.650
04 Balears, Illes	Total	2006	1.001.062
04 Balears, Illes	Total	2005	983.131
04 Balears, Illes	Total	2004	955.045
04 Balears, Illes	Total	2003	947.361
04 Balears, Illes	Total	2002	916.968
04 Balears, Illes	Total	2001	878.627
04 Balears, Illes	Total	2000	845.630
04 Balears, Illes	Total	1999	821.820
04 Balears, Illes	Total	1998	796.483
04 Balears, Illes	Total	1997	""
04 Balears, Illes	Total	1996	760.379
04 Balears, Illes	Hombres	2019	572.757
04 Balears, Illes	Hombres	2018	561.803
04 Balears, Illes	Hombres	2017	554.925
04 Balears, Illes	Hombres	2016	550.682
04 Balears, Illes	Hombres	2015	549.678
04 Balears, Illes	Hombres	2014	549.801
04 Balears, Illes	Hombres	2013	554.603
04 Balears, Illes	Hombres	2012	560.091
04 Balears, Illes	Hombres	2011	557.577
04 Balears, Illes	Hombres	2010	555.204
04 Balears, Illes	Hombres	2009	551.079
04 Balears, Illes	Hombres	2008	540.395
04 Balears, Illes	Hombres	2007	517.593
04 Balears, Illes	Hombres	2006	501.899
04 Balears, Illes	Hombres	2005	492.642
04 Balears, Illes	Hombres	2004	478.046
04 Balears, Illes	Hombres	2003	474.248
04 Balears, Illes	Hombres	2002	458.349
04 Balears, Illes	Hombres	2001	437.340
04 Balears, Illes	Hombres	2000	419.095
04 Balears, Illes	Hombres	1999	406.358
04 Balears, Illes	Hombres	1998	392.835
04 Balears, Illes	Hombres	1997	""
04 Balears, Illes	Hombres	1996	373.891
04 Balears, Illes	Mujeres	2019	576.703
04 Balears, Illes	Mujeres	2018	567.105
04 Balears, Illes	Mujeres	2017	561.074
04 Balears, Illes	Mujeres	2016	556.538
04 Balears, Illes	Mujeres	2015	554.801
04 Balears, Illes	Mujeres	2014	553.641
04 Balears, Illes	Mujeres	2013	557.071
04 Balears, Illes	Mujeres	2012	559.348
04 Balears, Illes	Mujeres	2011	555.537
04 Balears, Illes	Mujeres	2010	550.845
04 Balears, Illes	Mujeres	2009	544.347
04 Balears, Illes	Mujeres	2008	532.449
04 Balears, Illes	Mujeres	2007	513.057
04 Balears, Illes	Mujeres	2006	499.163
04 Balears, Illes	Mujeres	2005	490.489
04 Balears, Illes	Mujeres	2004	476.999
04 Balears, Illes	Mujeres	2003	473.113
04 Balears, Illes	Mujeres	2002	458.619
04 Balears, Illes	Mujeres	2001	441.287
04 Balears, Illes	Mujeres	2000	426.535
04 Balears, Illes	Mujeres	1999	415.462
04 Balears, Illes	Mujeres	1998	403.648
04 Balears, Illes	Mujeres	1997	""
04 Balears, Illes	Mujeres	1996	386.488
05 Canarias	Total	2019	2.153.389
05 Canarias	Total	2018	2.127.685
05 Canarias	Total	2017	2.108.121
05 Canarias	Total	2016	2.101.924
05 Canarias	Total	2015	2.100.306
05 Canarias	Total	2014	2.104.815
05 Canarias	Total	2013	2.118.679
05 Canarias	Total	2012	2.118.344
05 Canarias	Total	2011	2.126.769
05 Canarias	Total	2010	2.118.519
05 Canarias	Total	2009	2.103.992
05 Canarias	Total	2008	2.075.968
05 Canarias	Total	2007	2.025.951
05 Canarias	Total	2006	1.995.833
05 Canarias	Total	2005	1.968.280
05 Canarias	Total	2004	1.915.540
05 Canarias	Total	2003	1.894.868
05 Canarias	Total	2002	1.843.755
05 Canarias	Total	2001	1.781.366
05 Canarias	Total	2000	1.716.276
05 Canarias	Total	1999	1.672.689
05 Canarias	Total	1998	1.630.015
05 Canarias	Total	1997	""
05 Canarias	Total	1996	1.606.534
05 Canarias	Hombres	2019	1.065.971
05 Canarias	Hombres	2018	1.054.032
05 Canarias	Hombres	2017	1.045.113
05 Canarias	Hombres	2016	1.042.838
05 Canarias	Hombres	2015	1.043.203
05 Canarias	Hombres	2014	1.046.373
05 Canarias	Hombres	2013	1.055.302
05 Canarias	Hombres	2012	1.056.240
05 Canarias	Hombres	2011	1.061.591
05 Canarias	Hombres	2010	1.058.706
05 Canarias	Hombres	2009	1.052.636
05 Canarias	Hombres	2008	1.040.137
05 Canarias	Hombres	2007	1.015.493
05 Canarias	Hombres	2006	1.001.394
05 Canarias	Hombres	2005	988.230
05 Canarias	Hombres	2004	960.658
05 Canarias	Hombres	2003	950.159
05 Canarias	Hombres	2002	923.353
05 Canarias	Hombres	2001	890.549
05 Canarias	Hombres	2000	854.899
05 Canarias	Hombres	1999	831.707
05 Canarias	Hombres	1998	808.092
05 Canarias	Hombres	1997	""
05 Canarias	Hombres	1996	797.230
05 Canarias	Mujeres	2019	1.087.418
05 Canarias	Mujeres	2018	1.073.653
05 Canarias	Mujeres	2017	1.063.008
05 Canarias	Mujeres	2016	1.059.086
05 Canarias	Mujeres	2015	1.057.103
05 Canarias	Mujeres	2014	1.058.442
05 Canarias	Mujeres	2013	1.063.377
05 Canarias	Mujeres	2012	1.062.104
05 Canarias	Mujeres	2011	1.065.178
05 Canarias	Mujeres	2010	1.059.813
05 Canarias	Mujeres	2009	1.051.356
05 Canarias	Mujeres	2008	1.035.831
05 Canarias	Mujeres	2007	1.010.458
05 Canarias	Mujeres	2006	994.439
05 Canarias	Mujeres	2005	980.050
05 Canarias	Mujeres	2004	954.882
05 Canarias	Mujeres	2003	944.709
05 Canarias	Mujeres	2002	920.402
05 Canarias	Mujeres	2001	890.817
05 Canarias	Mujeres	2000	861.377
05 Canarias	Mujeres	1999	840.982
05 Canarias	Mujeres	1998	821.923
05 Canarias	Mujeres	1997	""
05 Canarias	Mujeres	1996	809.304
06 Cantabria	Total	2019	581.078
06 Cantabria	Total	2018	580.229
06 Cantabria	Total	2017	580.295
06 Cantabria	Total	2016	582.206
06 Cantabria	Total	2015	585.179
06 Cantabria	Total	2014	588.656
06 Cantabria	Total	2013	591.888
06 Cantabria	Total	2012	593.861
06 Cantabria	Total	2011	593.121
06 Cantabria	Total	2010	592.250
06 Cantabria	Total	2009	589.235
06 Cantabria	Total	2008	582.138
06 Cantabria	Total	2007	572.824
06 Cantabria	Total	2006	568.091
06 Cantabria	Total	2005	562.309
06 Cantabria	Total	2004	554.784
06 Cantabria	Total	2003	549.690
06 Cantabria	Total	2002	542.275
06 Cantabria	Total	2001	537.606
06 Cantabria	Total	2000	531.159
06 Cantabria	Total	1999	528.478
06 Cantabria	Total	1998	527.137
06 Cantabria	Total	1997	""
06 Cantabria	Total	1996	527.437
06 Cantabria	Hombres	2019	281.801
06 Cantabria	Hombres	2018	281.564
06 Cantabria	Hombres	2017	281.808
06 Cantabria	Hombres	2016	282.988
06 Cantabria	Hombres	2015	284.788
06 Cantabria	Hombres	2014	286.782
06 Cantabria	Hombres	2013	288.643
06 Cantabria	Hombres	2012	289.999
06 Cantabria	Hombres	2011	289.872
06 Cantabria	Hombres	2010	289.931
06 Cantabria	Hombres	2009	288.735
06 Cantabria	Hombres	2008	285.469
06 Cantabria	Hombres	2007	280.283
06 Cantabria	Hombres	2006	277.869
06 Cantabria	Hombres	2005	274.797
06 Cantabria	Hombres	2004	270.907
06 Cantabria	Hombres	2003	268.309
06 Cantabria	Hombres	2002	264.492
06 Cantabria	Hombres	2001	261.967
06 Cantabria	Hombres	2000	258.682
06 Cantabria	Hombres	1999	257.495
06 Cantabria	Hombres	1998	256.766
06 Cantabria	Hombres	1997	""
06 Cantabria	Hombres	1996	256.946
06 Cantabria	Mujeres	2019	299.277
06 Cantabria	Mujeres	2018	298.665
06 Cantabria	Mujeres	2017	298.487
06 Cantabria	Mujeres	2016	299.218
06 Cantabria	Mujeres	2015	300.391
06 Cantabria	Mujeres	2014	301.874
06 Cantabria	Mujeres	2013	303.245
06 Cantabria	Mujeres	2012	303.862
06 Cantabria	Mujeres	2011	303.249
06 Cantabria	Mujeres	2010	302.319
06 Cantabria	Mujeres	2009	300.500
06 Cantabria	Mujeres	2008	296.669
06 Cantabria	Mujeres	2007	292.541
06 Cantabria	Mujeres	2006	290.222
06 Cantabria	Mujeres	2005	287.512
06 Cantabria	Mujeres	2004	283.877
06 Cantabria	Mujeres	2003	281.381
06 Cantabria	Mujeres	2002	277.783
06 Cantabria	Mujeres	2001	275.639
06 Cantabria	Mujeres	2000	272.477
06 Cantabria	Mujeres	1999	270.983
06 Cantabria	Mujeres	1998	270.371
06 Cantabria	Mujeres	1997	""
06 Cantabria	Mujeres	1996	270.491
07 Castilla y León	Total	2019	2.399.548
07 Castilla y León	Total	2018	2.409.164
07 Castilla y León	Total	2017	2.425.801
07 Castilla y León	Total	2016	2.447.519
07 Castilla y León	Total	2015	2.472.052
07 Castilla y León	Total	2014	2.494.790
07 Castilla y León	Total	2013	2.519.875
07 Castilla y León	Total	2012	2.546.078
07 Castilla y León	Total	2011	2.558.463
07 Castilla y León	Total	2010	2.559.515
07 Castilla y León	Total	2009	2.563.521
07 Castilla y León	Total	2008	2.557.330
07 Castilla y León	Total	2007	2.528.417
07 Castilla y León	Total	2006	2.523.020
07 Castilla y León	Total	2005	2.510.849
07 Castilla y León	Total	2004	2.493.918
07 Castilla y León	Total	2003	2.487.646
07 Castilla y León	Total	2002	2.480.369
07 Castilla y León	Total	2001	2.479.425
07 Castilla y León	Total	2000	2.479.118
07 Castilla y León	Total	1999	2.488.062
07 Castilla y León	Total	1998	2.484.603
07 Castilla y León	Total	1997	""
07 Castilla y León	Total	1996	2.508.496
07 Castilla y León	Hombres	2019	1.181.401
07 Castilla y León	Hombres	2018	1.186.363
07 Castilla y León	Hombres	2017	1.195.251
07 Castilla y León	Hombres	2016	1.206.775
07 Castilla y León	Hombres	2015	1.219.616
07 Castilla y León	Hombres	2014	1.232.250
07 Castilla y León	Hombres	2013	1.246.377
07 Castilla y León	Hombres	2012	1.261.141
07 Castilla y León	Hombres	2011	1.267.671
07 Castilla y León	Hombres	2010	1.268.860
07 Castilla y León	Hombres	2009	1.272.020
07 Castilla y León	Hombres	2008	1.269.338
07 Castilla y León	Hombres	2007	1.251.082
07 Castilla y León	Hombres	2006	1.247.158
07 Castilla y León	Hombres	2005	1.240.450
07 Castilla y León	Hombres	2004	1.231.258
07 Castilla y León	Hombres	2003	1.228.177
07 Castilla y León	Hombres	2002	1.223.935
07 Castilla y León	Hombres	2001	1.222.612
07 Castilla y León	Hombres	2000	1.221.973
07 Castilla y León	Hombres	1999	1.227.156
07 Castilla y León	Hombres	1998	1.225.516
07 Castilla y León	Hombres	1997	""
07 Castilla y León	Hombres	1996	1.238.129
07 Castilla y León	Mujeres	2019	1.218.147
07 Castilla y León	Mujeres	2018	1.222.801
07 Castilla y León	Mujeres	2017	1.230.550
07 Castilla y León	Mujeres	2016	1.240.744
07 Castilla y León	Mujeres	2015	1.252.436
07 Castilla y León	Mujeres	2014	1.262.540
07 Castilla y León	Mujeres	2013	1.273.498
07 Castilla y León	Mujeres	2012	1.284.937
07 Castilla y León	Mujeres	2011	1.290.792
07 Castilla y León	Mujeres	2010	1.290.655
07 Castilla y León	Mujeres	2009	1.291.501
07 Castilla y León	Mujeres	2008	1.287.992
07 Castilla y León	Mujeres	2007	1.277.335
07 Castilla y León	Mujeres	2006	1.275.862
07 Castilla y León	Mujeres	2005	1.270.399
07 Castilla y León	Mujeres	2004	1.262.660
07 Castilla y León	Mujeres	2003	1.259.469
07 Castilla y León	Mujeres	2002	1.256.434
07 Castilla y León	Mujeres	2001	1.256.813
07 Castilla y León	Mujeres	2000	1.257.145
07 Castilla y León	Mujeres	1999	1.260.906
07 Castilla y León	Mujeres	1998	1.259.087
07 Castilla y León	Mujeres	1997	""
07 Castilla y León	Mujeres	1996	1.270.367
08 Castilla - La Mancha	Total	2019	2.032.863
08 Castilla - La Mancha	Total	2018	2.026.807
08 Castilla - La Mancha	Total	2017	2.031.479
08 Castilla - La Mancha	Total	2016	2.041.631
08 Castilla - La Mancha	Total	2015	2.059.191
08 Castilla - La Mancha	Total	2014	2.078.611
08 Castilla - La Mancha	Total	2013	2.100.998
08 Castilla - La Mancha	Total	2012	2.121.888
08 Castilla - La Mancha	Total	2011	2.115.334
08 Castilla - La Mancha	Total	2010	2.098.373
08 Castilla - La Mancha	Total	2009	2.081.313
08 Castilla - La Mancha	Total	2008	2.043.100
08 Castilla - La Mancha	Total	2007	1.977.304
08 Castilla - La Mancha	Total	2006	1.932.261
08 Castilla - La Mancha	Total	2005	1.894.667
08 Castilla - La Mancha	Total	2004	1.848.881
08 Castilla - La Mancha	Total	2003	1.815.781
08 Castilla - La Mancha	Total	2002	1.782.038
08 Castilla - La Mancha	Total	2001	1.755.053
08 Castilla - La Mancha	Total	2000	1.734.261
08 Castilla - La Mancha	Total	1999	1.726.199
08 Castilla - La Mancha	Total	1998	1.716.152
08 Castilla - La Mancha	Total	1997	""
08 Castilla - La Mancha	Total	1996	1.712.529
08 Castilla - La Mancha	Hombres	2019	1.016.954
08 Castilla - La Mancha	Hombres	2018	1.014.199
08 Castilla - La Mancha	Hombres	2017	1.016.761
08 Castilla - La Mancha	Hombres	2016	1.022.722
08 Castilla - La Mancha	Hombres	2015	1.032.673
08 Castilla - La Mancha	Hombres	2014	1.043.880
08 Castilla - La Mancha	Hombres	2013	1.056.960
08 Castilla - La Mancha	Hombres	2012	1.069.648
08 Castilla - La Mancha	Hombres	2011	1.066.598
08 Castilla - La Mancha	Hombres	2010	1.059.149
08 Castilla - La Mancha	Hombres	2009	1.051.668
08 Castilla - La Mancha	Hombres	2008	1.033.131
08 Castilla - La Mancha	Hombres	2007	995.668
08 Castilla - La Mancha	Hombres	2006	970.867
08 Castilla - La Mancha	Hombres	2005	950.976
08 Castilla - La Mancha	Hombres	2004	925.694
08 Castilla - La Mancha	Hombres	2003	907.656
08 Castilla - La Mancha	Hombres	2002	888.987
08 Castilla - La Mancha	Hombres	2001	873.287
08 Castilla - La Mancha	Hombres	2000	860.657
08 Castilla - La Mancha	Hombres	1999	856.604
08 Castilla - La Mancha	Hombres	1998	851.354
08 Castilla - La Mancha	Hombres	1997	""
08 Castilla - La Mancha	Hombres	1996	849.076
08 Castilla - La Mancha	Mujeres	2019	1.015.909
08 Castilla - La Mancha	Mujeres	2018	1.012.608
08 Castilla - La Mancha	Mujeres	2017	1.014.718
08 Castilla - La Mancha	Mujeres	2016	1.018.909
08 Castilla - La Mancha	Mujeres	2015	1.026.518
08 Castilla - La Mancha	Mujeres	2014	1.034.731
08 Castilla - La Mancha	Mujeres	2013	1.044.038
08 Castilla - La Mancha	Mujeres	2012	1.052.240
08 Castilla - La Mancha	Mujeres	2011	1.048.736
08 Castilla - La Mancha	Mujeres	2010	1.039.224
08 Castilla - La Mancha	Mujeres	2009	1.029.645
08 Castilla - La Mancha	Mujeres	2008	1.009.969
08 Castilla - La Mancha	Mujeres	2007	981.636
08 Castilla - La Mancha	Mujeres	2006	961.394
08 Castilla - La Mancha	Mujeres	2005	943.691
08 Castilla - La Mancha	Mujeres	2004	923.187
08 Castilla - La Mancha	Mujeres	2003	908.125
08 Castilla - La Mancha	Mujeres	2002	893.051
08 Castilla - La Mancha	Mujeres	2001	881.766
08 Castilla - La Mancha	Mujeres	2000	873.604
08 Castilla - La Mancha	Mujeres	1999	869.595
08 Castilla - La Mancha	Mujeres	1998	864.798
08 Castilla - La Mancha	Mujeres	1997	""
08 Castilla - La Mancha	Mujeres	1996	863.453
09 Cataluña	Total	2019	7.675.217
09 Cataluña	Total	2018	7.600.065
09 Cataluña	Total	2017	7.555.830
09 Cataluña	Total	2016	7.522.596
09 Cataluña	Total	2015	7.508.106
09 Cataluña	Total	2014	7.518.903
09 Cataluña	Total	2013	7.553.650
09 Cataluña	Total	2012	7.570.908
